step,time,dt,m_liq,m_gas,m_sol,m_slag,E_liq,E_gas,E_sol,E_slag,P_arc,E_src_liq_arc,E_src_liq_rad,E_src_liq_chem,E_src_gas_arc,E_src_gas_rad,E_src_gas_chem,E_arc_direct_sol,E_arc_discarded,E_mc_deposit,m_melted,m_resolid,E_melt_from_solid,m_alpha_clip,E_slag_intercept,E_rad_sol,E_rad_wall,E_conv_defect,E_wall_conv,E_chem_sol,E_mc_lost,E_out_conv,E_gas_abs,E_mass_liq,m_ecs_in,E_ecs_in
20, 1.000000000E-01, 5.000000000E-03, 0.000000000E+00, 1.099177578E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 1.472718552E+06, 8.038272077E+10, 0.000000000E+00, 8.250110000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.606691005E+05,-1.907140335E+02, 0.000000000E+00, 1.031263750E+05, 0.000000000E+00, 5.441635054E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.029547747E+02, 4.664774643E+01,-1.179199506E+05, 0.000000000E+00, 0.000000000E+00, 4.871002446E+04, 1.699196679E+05, 3.113381542E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
21, 1.050000000E-01, 5.000000000E-03, 0.000000000E+00, 1.098486151E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 1.505405107E+06, 8.038293053E+10, 0.000000000E+00, 8.250115500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.606348988E+05,-2.173614130E+02, 0.000000000E+00, 1.031264437E+05, 0.000000000E+00, 5.438201134E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.166422015E+02, 5.137196215E+01,-1.169382835E+05, 0.000000000E+00, 0.000000000E+00, 4.874443241E+04, 1.698140987E+05, 3.072051033E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
22, 1.100000000E-01, 5.000000000E-03, 0.000000000E+00, 1.097822428E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 1.538812796E+06, 8.038314131E+10, 0.000000000E+00, 8.250121000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.607725746E+05,-2.492225497E+02, 0.000000000E+00, 1.031265125E+05, 0.000000000E+00, 5.451954961E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.328201914E+02, 5.727998131E+01,-1.151930466E+05, 0.000000000E+00, 0.000000000E+00, 4.860696289E+04, 1.697824408E+05, 3.145420186E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
23, 1.150000000E-01, 5.000000000E-03, 0.000000000E+00, 1.097143849E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 1.571605949E+06, 8.038335346E+10, 0.000000000E+00, 8.250126500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.614602590E+05,-2.798604131E+02, 0.000000000E+00, 1.031265813E+05, 0.000000000E+00, 5.520709650E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.520421275E+02, 6.449134403E+01,-1.148571829E+05, 0.000000000E+00, 0.000000000E+00, 4.791948475E+04, 1.693851472E+05, 3.124650887E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
24, 1.200000000E-01, 5.000000000E-03, 0.000000000E+00, 1.096509981E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 1.603268322E+06, 8.038356667E+10, 0.000000000E+00, 8.250132000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.607041712E+05,-3.153110664E+02, 0.000000000E+00, 1.031266500E+05, 0.000000000E+00, 5.445087120E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.710934153E+02, 7.206534448E+01,-1.140743438E+05, 0.000000000E+00, 0.000000000E+00, 4.867577880E+04, 1.692811221E+05, 3.021097889E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
25, 1.250000000E-01, 5.000000000E-03, 0.000000000E+00, 1.095896983E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 1.632411094E+06, 8.038378123E+10, 0.000000000E+00, 8.250137500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.607730961E+05,-3.477281007E+02, 0.000000000E+00, 1.031267188E+05, 0.000000000E+00, 5.451965865E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.925944967E+02, 8.077715380E+01,-1.151714162E+05, 0.000000000E+00, 0.000000000E+00, 4.860706010E+04, 1.686933683E+05, 2.808520801E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
26, 1.300000000E-01, 5.000000000E-03, 0.000000000E+00, 1.095371708E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 1.657735573E+06, 8.038399679E+10, 0.000000000E+00, 8.250143000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.585044807E+05,-3.773365597E+02, 0.000000000E+00, 1.031267875E+05, 0.000000000E+00, 5.225090567E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.126456678E+02, 8.912724902E+01,-1.157041047E+05, 0.000000000E+00, 0.000000000E+00, 5.087588183E+04, 1.679717214E+05, 2.443267697E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
27, 1.350000000E-01, 5.000000000E-03, 0.000000000E+00, 1.094790079E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 1.685426226E+06, 8.038421283E+10, 0.000000000E+00, 8.250148500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.618390880E+05,-4.042739232E+02, 0.000000000E+00, 1.031268562E+05, 0.000000000E+00, 5.558537552E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.312185730E+02, 9.723231119E+01,-1.161017304E+05, 0.000000000E+00, 0.000000000E+00, 4.754148073E+04, 1.678907454E+05, 2.675413610E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
28, 1.400000000E-01, 5.000000000E-03, 0.000000000E+00, 1.094226597E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 1.711758039E+06, 8.038442956E+10, 0.000000000E+00, 8.250154000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.614955062E+05,-4.280580446E+02, 0.000000000E+00, 1.031269250E+05, 0.000000000E+00, 5.524165616E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.484418468E+02, 1.047649862E+02,-1.164192368E+05, 0.000000000E+00, 0.000000000E+00, 4.788526884E+04, 1.677020324E+05, 2.549005968E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
29, 1.450000000E-01, 5.000000000E-03, 0.000000000E+00, 1.093711038E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 1.734964163E+06, 8.038464752E+10, 0.000000000E+00, 8.250159500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.603956592E+05,-4.558098629E+02, 0.000000000E+00, 1.031269937E+05, 0.000000000E+00, 5.414167172E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.642041541E+02, 1.117440117E+02,-1.171494520E+05, 0.000000000E+00, 0.000000000E+00, 4.898532203E+04, 1.669352792E+05, 2.256307581E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
30, 1.500000000E-01, 5.000000000E-03, 0.000000000E+00, 1.093244863E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 1.756541566E+06, 8.038486578E+10, 0.000000000E+00, 8.250165000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.597426948E+05,-4.777321647E+02, 0.000000000E+00, 1.031270625E+05, 0.000000000E+00, 5.348856975E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.805019895E+02, 1.186613799E+02,-1.179106206E+05, 0.000000000E+00, 0.000000000E+00, 4.963849275E+04, 1.664218238E+05, 2.099142175E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
31, 1.550000000E-01, 5.000000000E-03, 0.000000000E+00, 1.092795081E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 1.776005023E+06, 8.038508487E+10, 0.000000000E+00, 8.250170500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.597772436E+05,-4.925463511E+02, 0.000000000E+00, 1.031271312E+05, 0.000000000E+00, 5.352298112E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.949733983E+02, 1.250755994E+02,-1.191787699E+05, 0.000000000E+00, 0.000000000E+00, 4.960415013E+04, 1.658459592E+05, 1.906308690E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
32, 1.600000000E-01, 5.000000000E-03, 0.000000000E+00, 1.092297363E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 1.799373043E+06, 8.038530397E+10, 0.000000000E+00, 8.250176000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.629056085E+05,-5.207576986E+02, 0.000000000E+00, 1.031272000E+05, 0.000000000E+00, 5.665120853E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.048686034E+02, 1.300967931E+02,-1.184234931E+05, 0.000000000E+00, 0.000000000E+00, 4.647599147E+04, 1.658644065E+05, 2.258534976E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
